datapath,benchmark,branch_predictor,sim_num_insn,sim_CPI,bpred_nottaken.misses,bpred_bimod.misses,bpred_2lev.misses,bpred_comb.misses,BM,BMPI
inorder,bzip2,2lev (1-bit),2000000.0,1.8434,,,213.0,,213.0,0.0001065
inorder,bzip2,2lev (4-bit),2000000.0,1.8436,,,280.0,,280.0,0.00014
inorder,bzip2,bimod,2000000.0,1.8434,,151.0,,,151.0,7.55e-05
inorder,bzip2,combined,2000000.0,1.8433,,,,171.0,171.0,8.55e-05
inorder,bzip2,nottaken,2000000.0,2.3296,194858.0,,,,194858.0,0.097429
inorder,bzip2,perfect,2000000.0,1.8429,,,,,0.0,0.0
inorder,hmmer,2lev (1-bit),2000000.0,2.3127,,,1.0,,1.0,5e-07
inorder,hmmer,2lev (4-bit),2000000.0,2.3128,,,1.0,,1.0,5e-07
inorder,hmmer,bimod,2000000.0,2.3128,,0.0,,,0.0,0.0
inorder,hmmer,combined,2000000.0,2.3128,,,,1.0,1.0,5e-07
inorder,hmmer,nottaken,2000000.0,2.6252,125000.0,,,,125000.0,0.0625
inorder,hmmer,perfect,2000000.0,2.3128,,,,,0.0,0.0
inorder,mcf,2lev (1-bit),2000000.0,1.8252,,,13937.0,,13937.0,0.0069685
inorder,mcf,2lev (4-bit),2000000.0,1.8658,,,35943.0,,35943.0,0.0179715
inorder,mcf,bimod,2000000.0,1.8186,,9503.0,,,9503.0,0.0047515
inorder,mcf,combined,2000000.0,1.8045,,,,3861.0,3861.0,0.0019305
inorder,mcf,nottaken,2000000.0,2.3227,215563.0,,,,215563.0,0.1077815
inorder,mcf,perfect,2000000.0,1.7946,,,,,0.0,0.0
inorder,milc,2lev (1-bit),2000000.0,1.8224,,,3663.0,,3663.0,0.0018315
inorder,milc,2lev (4-bit),2000000.0,1.8239,,,4572.0,,4572.0,0.002286
inorder,milc,bimod,2000000.0,1.8224,,3316.0,,,3316.0,0.001658
inorder,milc,combined,2000000.0,1.822,,,,1682.0,1682.0,0.000841
inorder,milc,nottaken,2000000.0,2.1964,185918.0,,,,185918.0,0.092959
inorder,milc,perfect,2000000.0,1.8178,,,,,0.0,0.0
inorder,sjeng,2lev (1-bit),2000000.0,1.7709,,,12613.0,,12613.0,0.0063065
inorder,sjeng,2lev (4-bit),2000000.0,1.798,,,23435.0,,23435.0,0.0117175
inorder,sjeng,bimod,2000000.0,1.8504,,44381.0,,,44381.0,0.0221905
inorder,sjeng,combined,2000000.0,1.7608,,,,8571.0,8571.0,0.0042855
inorder,sjeng,nottaken,2000000.0,2.2858,218605.0,,,,218605.0,0.1093025
inorder,sjeng,perfect,2000000.0,1.7394,,,,,0.0,0.0
outorder,bzip2,2lev (1-bit),2000001.0,1.1432,,,342.0,,342.0,0.00017099991450004274
outorder,bzip2,2lev (4-bit),2000001.0,1.1433,,,360.0,,360.0,0.000179999910000045
outorder,bzip2,bimod,2000001.0,1.1427,,151.0,,,151.0,7.549996225001887e-05
outorder,bzip2,combined,2000001.0,1.1427,,,,195.0,195.0,9.749995125002437e-05
outorder,bzip2,nottaken,2000001.0,1.6412,194858.0,,,,194858.0,0.09742895128552435
outorder,bzip2,perfect,2000001.0,1.1484,,,,,0.0,0.0
outorder,hmmer,2lev (1-bit),2000001.0,1.2346,,,1.0,,1.0,4.99999750000125e-07
outorder,hmmer,2lev (4-bit),2000000.0,1.2346,,,1.0,,1.0,5e-07
outorder,hmmer,bimod,2000003.0,1.2345,,0.0,,,0.0,0.0
outorder,hmmer,combined,2000000.0,1.2346,,,,1.0,1.0,5e-07
outorder,hmmer,nottaken,2000002.0,1.7658,125000.0,,,,125000.0,0.0624999375000625
outorder,hmmer,perfect,2000001.0,1.2502,,,,,0.0,0.0
outorder,mcf,2lev (1-bit),2000000.0,0.7542,,,21540.0,,21540.0,0.01077
outorder,mcf,2lev (4-bit),2000000.0,0.7742,,,33440.0,,33440.0,0.01672
outorder,mcf,bimod,2000000.0,0.7254,,9503.0,,,9503.0,0.0047515
outorder,mcf,combined,2000000.0,0.6927,,,,4513.0,4513.0,0.0022565
outorder,mcf,nottaken,2000000.0,1.4998,215563.0,,,,215563.0,0.1077815
outorder,mcf,perfect,2000000.0,0.7109,,,,,0.0,0.0
outorder,milc,2lev (1-bit),2000000.0,0.6247,,,2690.0,,2690.0,0.001345
outorder,milc,2lev (4-bit),2000000.0,0.6249,,,5061.0,,5061.0,0.0025305
outorder,milc,bimod,2000000.0,0.6249,,3316.0,,,3316.0,0.001658
outorder,milc,combined,2000000.0,0.6246,,,,2323.0,2323.0,0.0011615
outorder,milc,nottaken,2000000.0,1.3015,185918.0,,,,185918.0,0.092959
outorder,milc,perfect,2000000.0,0.6236,,,,,0.0,0.0
outorder,sjeng,2lev (1-bit),2000002.0,0.853,,,32299.0,,32299.0,0.01614948385051615
outorder,sjeng,2lev (4-bit),2000002.0,0.8994,,,43622.0,,43622.0,0.02181097818902181
outorder,sjeng,bimod,2000002.0,0.9061,,44381.0,,,44381.0,0.02219047780952219
outorder,sjeng,combined,2000002.0,0.7843,,,,16235.0,16235.0,0.008117491882508118
outorder,sjeng,nottaken,2000002.0,1.6459,218605.0,,,,218605.0,0.1093023906976093
outorder,sjeng,perfect,2000002.0,0.7214,,,,,0.0,0.0
